Region,State,Year,Seats
South,Louisiana,1950,8
South,Mississippi,1950,6
South,North Carolina,1950,12
South,South Carolina,1950,6
South,Tennessee,1950,9
South,Texas,1950,22
South,Virginia,1950,10
Border,All Border,1950,38
Border,Kentucky,1950,8
Border,Maryland,1950,7
Border,Missouri,1950,11
Border,Oklahoma,1950,6
Border,West Virginia,1950,6
New England,All New England,1950,28
New England,Connecticut,1950,6
New England,Maine,1950,3
New England,Massachusetts,1950,14
New England,New Hampshire,1950,2
New England,Rhode Island,1950,2
New England,Vermont,1950,1
Mid-Atlantic,All Mid-Atlantic,1950,88
Mid-Atlantic,Delaware,1950,1
Mid-Atlantic,New Jersey,1950,14
Mid-Atlantic,New York,1950,43
Mid-Atlantic, Pennsylvania,1950,30
Midwest,All Midwest,1950,87
Midwest,Illinois,1950,25
Midwest,Indiana,1950,11
Midwest,Michigan,1950,18
Midwest,Ohio,1950,23
Midwest,Wisconsin,1950,10
Plains,All Plains,1950,31
Plains,Iowa,1950,8
Plains,Kansas,1950,6
Plains,Minnesota,1950,9
Plains,Nebraska,1950,4
Plains,North Dakota,1950,2
Plains,South Dakota,1950,2
Rocky Mountains,All Rocky Mountains,1950,16
Rocky Mountains,Arizona,1950,2
Rocky Mountains,Colorado,1950,4
Rocky Mountains,Idaho,1950,2
Rocky Mountains,Montana,1950,2
Rocky Mountains,Nevada,1950,1
Rocky Mountains,New Mexico,1950,2
Rocky Mountains,Utah,1950,2
Rocky Mountains,Wyoming,1950,1
Pacific Coast,All Pacific Coast,1950,43
Pacific Coast,Alaska,1950,1
Pacific Coast,California,1950,30
Pacific Coast,Hawaii,1950,1
Pacific Coast,Oregon,1950,4
Pacific Coast,Washington,1950,7
South,All South,1960,106
South,Alabama,1960,8
South,Arkansas,1960,4
South,Florida,1960,12
South,Georgia,1960,10
South,Louisiana,1960,8
South,Mississippi,1960,5
South,North Carolina,1960,11
South,South Carolina,1960,6
South,Tennessee,1960,9
South,Texas,1960,23
South,Virginia,1960,10
Border,All Border,1960,36
Border,Kentucky,1960,7
Border,Maryland,1960,8
Border,Missouri,1960,10
Border,Oklahoma,1960,6
Border,West Virginia,1960,5
New England,All New England,1960,25
New England,Connecticut,1960,6
New England,Maine,1960,2
New England,Massachusetts,1960,12
New England,New Hampshire,1960,2
New England,Rhode Island,1960,2
New England,Vermont,1960,1
Mid-Atlantic,All Mid-Atlantic,1960,84
Mid-Atlantic,Delaware,1960,1
Mid-Atlantic,New Jersey,1960,15
Mid-Atlantic,New York,1960,41
Mid-Atlantic, Pennsylvania,1960,27
Midwest,All Midwest,1960,88
Midwest,Illinois,1960,24
Midwest,Indiana,1960,11
Midwest,Michigan,1960,19
Midwest,Ohio,1960,24
Midwest,Wisconsin,1960,10
Plains,All Plains,1960,27
Plains,Iowa,1960,7
Plains,Kansas,1960,5
Plains,Minnesota,1960,8
Plains,Nebraska,1960,3
Plains,North Dakota,1960,2
Plains,South Dakota,1960,2
Rocky Mountains,All Rocky Mountains,1960,17
Rocky Mountains,Arizona,1960,3
Rocky Mountains,Colorado,1960,4
Rocky Mountains,Idaho,1960,2
Rocky Mountains,Montana,1960,2
Rocky Mountains,Nevada,1960,1
Rocky Mountains,New Mexico,1960,2
Rocky Mountains,Utah,1960,2
Rocky Mountains,Wyoming,1960,1
Pacific Coast,All Pacific Coast,1960,52
Pacific Coast,Alaska,1960,1
Pacific Coast,California,1960,38
Pacific Coast,Hawaii,1960,2
Pacific Coast,Oregon,1960,4
Pacific Coast,Washington,1960,7
South,All South,1970,108
South,Alabama,1970,7
South,Arkansas,1970,4
South,Florida,1970,15
South,Georgia,1970,10
South,Louisiana,1970,8
South,Mississippi,1970,5
South,North Carolina,1970,11
South,South Carolina,1970,6
South,Tennessee,1970,8
